hour,biomasse,wasserkraft,wind_offshore,wind_onshore,photovoltaik,sonstige_erneuerbare,braunkohle,steinkohle,erdgas,pumpspeicher,sonstige_konventionelle
88,1,1,0.6305,0.2027,0,1,1,1,1,1,1
89,1,1,0.6073,0.1912,0,1,1,1,1,1,1
90,1,1,0.5615,0.1892,0,1,1,1,1,1,1
91,1,1,0.5266,0.18,0,1,1,1,1,1,1
92,1,1,0.5414,0.1688,0,1,1,1,1,1,1
93,1,1,0.5204,0.1499,0,1,1,1,1,1,1
94,1,1,0.4604,0.1269,0,1,1,1,1,1,1
95,1,1,0.3849,0.1105,0,1,1,1,1,1,1
96,1,1,0.3271,0.1002,0,1,1,1,1,1,1
97,1,1,0.2656,0.0896,0,1,1,1,1,1,1
98,1,1,0.1979,0.0773,0,1,1,1,1,1,1
99,1,1,0.1572,0.0654,0,1,1,1,1,1,1
100,1,1,0.1406,0.0566,0,1,1,1,1,1,1
101,1,1,0.1446,0.0546,0,1,1,1,1,1,1
102,1,1,0.1432,0.0576,0,1,1,1,1,1,1
103,1,1,0.1272,0.0624,0,1,1,1,1,1,1
104,1,1,0.1051,0.0677,0,1,1,1,1,1,1
105,1,1,0.0901,0.0663,0.0080,1,1,1,1,1,1
106,1,1,0.0789,0.0521,0.0240,1,1,1,1,1,1
107,1,1,0.0651,0.0483,0.0440,1,1,1,1,1,1
108,1,1,0.0441,0.0542,0.0560,1,1,1,1,1,1
109,1,1,0.0202,0.0599,0.0530,1,1,1,1,1,1
110,1,1,0.0057,0.0671,0.0340,1,1,1,1,1,1
111,1,1,0.0028,0.0709,0.0080,1,1,1,1,1,1
112,1,1,0.006,0.0831,0,1,1,1,1,1,1
113,1,1,0.016,0.1094,0,1,1,1,1,1,1
114,1,1,0.0342,0.123,0,1,1,1,1,1,1
115,1,1,0.0567,0.1395,0,1,1,1,1,1,1
116,1,1,0.0818,0.1563,0,1,1,1,1,1,1
117,1,1,0.1174,0.1771,0,1,1,1,1,1,1
118,1,1,0.1505,0.1918,0,1,1,1,1,1,1
119,1,1,0.1803,0.2092,0,1,1,1,1,1,1
120,1,1,0.2195,0.2346,0,1,1,1,1,1,1
121,1,1,0.2849,0.2666,0,1,1,1,1,1,1
122,1,1,0.3604,0.3033,0,1,1,1,1,1,1
123,1,1,0.4386,0.3329,0,1,1,1,1,1,1
124,1,1,0.5322,0.3682,0,1,1,1,1,1,1
125,1,1,0.5819,0.4154,0,1,1,1,1,1,1
126,1,1,0.6568,0.4597,0,1,1,1,1,1,1
127,1,1,0.709,0.4935,0,1,1,1,1,1,1
128,1,1,0.7359,0.5143,0.0030,1,1,1,1,1,1
129,1,1,0.7555,0.5266,0.0380,1,1,1,1,1,1
130,1,1,0.7879,0.542,0.0830,1,1,1,1,1,1
131,1,1,0.8173,0.5714,0.1120,1,1,1,1,1,1
132,1,1,0.8265,0.598,0.1100,1,1,1,1,1,1
133,1,1,0.8412,0.6162,0.0840,1,1,1,1,1,1
134,1,1,0.8577,0.6041,0.0490,1,1,1,1,1,1
135,1,1,0.8699,0.5816,0.0120,1,1,1,1,1,1
136,1,1,0.8745,0.5884,0,1,1,1,1,1,1
137,1,1,0.8672,0.6117,0,1,1,1,1,1,1
138,1,1,0.8551,0.6303,0,1,1,1,1,1,1
139,1,1,0.8532,0.6487,0,1,1,1,1,1,1
140,1,1,0.8575,0.6653,0,1,1,1,1,1,1
141,1,1,0.8624,0.6766,0,1,1,1,1,1,1
142,1,1,0.875,0.6903,0,1,1,1,1,1,1
143,1,1,0.8888,0.7042,0,1,1,1,1,1,1
144,1,1,0.8994,0.7165,0,1,1,1,1,1,1
145,1,1,0.9065,0.7242,0,1,1,1,1,1,1
146,1,1,0.9108,0.7319,0,1,1,1,1,1,1
147,1,1,0.9133,0.7361,0,1,1,1,1,1,1
148,1,1,0.9206,0.738,0,1,1,1,1,1,1
149,1,1,0.9312,0.7491,0,1,1,1,1,1,1
150,1,1,0.9401,0.7617,0,1,1,1,1,1,1
151,1,1,0.9447,0.7722,0,1,1,1,1,1,1
152,1,1,0.9514,0.7814,0.0010,1,1,1,1,1,1
153,1,1,0.9557,0.7916,0.0240,1,1,1,1,1,1
154,1,1,0.9546,0.8006,0.0590,1,1,1,1,1,1
155,1,1,0.9505,0.8122,0.0890,1,1,1,1,1,1
156,1,1,0.9448,0.8221,0.1020,1,1,1,1,1,1
157,1,1,0.9285,0.8309,0.0880,1,1,1,1,1,1
158,1,1,0.906,0.8379,0.0560,1,1,1,1,1,1
159,1,1,0.8925,0.8317,0.0200,1,1,1,1,1,1
160,1,1,0.9018,0.8224,0,1,1,1,1,1,1
161,1,1,0.945,0.8102,0,1,1,1,1,1,1
162,1,1,0.9586,0.7863,0,1,1,1,1,1,1
163,1,1,0.9622,0.76,0,1,1,1,1,1,1
164,1,1,0.9563,0.7251,0,1,1,1,1,1,1
165,1,1,0.9595,0.7012,0,1,1,1,1,1,1
166,1,1,0.963,0.6927,0,1,1,1,1,1,1
167,1,1,0.9642,0.6809,0,1,1,1,1,1,1
168,1,1,0.9611,0.6697,0,1,1,1,1,1,1
169,1,1,0.9554,0.6681,0,1,1,1,1,1,1
170,1,1,0.947,0.6446,0,1,1,1,1,1,1
