hour,total_demand
1,43273.75
2,41631.25
3,40085.00
4,39269.75
5,39032.75
6,38570.50
7,38047.50
8,38756.00
9,39575.25
10,42119.25
11,44866.50
12,47785.25
13,49116.75
14,48786.00
15,48528.50
16,48983.00
17,50727.00
18,53893.25
19,54658.25
20,53663.50
21,51355.50
22,49733.50
23,48741.50
24,45919.25
25,43719.75
26,42213.25
27,41807.25
28,42330.75
29,43758.00
30,46896.00
31,52714.00
32,58136.50
33,61514.25
34,63429.25
35,64466.00
36,65756.00
37,66016.25
38,65282.50
39,64117.50
40,64010.00
41,65227.25
42,68510.25
43,68247.50
44,66478.00
45,62719.75
46,59541.75
47,57643.25
48,53959.25
49,51008.00
50,50046.50
51,49751.50
52,49641.00
53,50417.25
54,53021.75
55,57841.25
56,62218.50
57,64800.50
58,66152.50
59,66815.00
60,67815.50
61,68012.50
62,66870.00
63,65817.50
64,65260.50
65,66578.75
66,69665.50
67,69337.00
68,67354.00
69,63667.00
70,60674.75
71,58432.25
72,55109.25
73,51952.50
74,50064.75
75,49507.50
76,49910.75
77,51006.75
78,53476.50
79,58351.75
80,63758.50
81,66921.00
82,68494.50
83,69278.50
84,69847.50
85,70270.25
86,69058.50
87,67290.00
88,66557.75
89,67897.00
90,70008.75
91,69308.75
92,67292.25
93,63345.50
94,60342.75
95,58484.75
96,54449.50
97,51625.25
98,49262.00
99,47940.25
100,47467.00
101,47544.75
102,47614.00
103,48282.50
104,50760.50
105,54305.50
106,57592.00
107,59711.00
108,60919.75
109,60791.00
110,59516.75
111,58472.50
112,58036.25
113,59074.75
114,61927.50
115,61934.25
116,60093.00
117,56237.50
118,53912.00
119,52895.50
120,49839.50
121,46644.25
122,44544.75
123,43208.00
124,43042.50
125,43028.75
126,42614.00
127,42255.75
128,43350.75
129,45962.00
130,49469.00
131,52442.00
132,55008.75
133,55497.25
134,54103.00
135,53472.75
136,52709.25
137,54462.75
138,58011.25
139,58919.25
140,57341.75
141,54976.50
142,53388.75
143,52721.00
144,49863.75
145,46880.00
146,45258.25
147,44778.75
148,45422.25
149,47302.25
150,51569.25
151,60305.00
152,66740.25
153,69549.00
154,69841.75
155,71109.25
156,72052.25
157,71923.25
158,71849.75
159,71548.25
160,71468.75
161,72522.25
162,74738.50
163,73832.25
164,71895.50
165,68574.25
166,65527.25
167,62293.50
168,58307.25
169,54342.75
170,52541.75
171,51658.75
172,52231.75
173,53853.50
174,57330.00
175,64688.75
176,71017.25
177,73450.50
178,73559.00
179,74189.25
180,74794.50
181,74561.75
182,74364.25
183,73600.50
184,73175.75
185,73941.00
186,75838.50
187,75290.00
188,73503.25
189,69593.75
190,66029.50
191,62940.75
192,59162.00
193,55372.25
194,53542.25
195,52590.25
196,53146.50
197,54758.00
198,57799.25
199,64940.25
200,71410.75
201,74114.00
202,74678.25
203,75513.25
204,76393.50
205,75900.75
206,75566.75
207,74873.00
208,74166.75
209,74594.25
210,76940.00
211,76115.00
212,74170.25
213,70072.50
214,66522.25
215,63496.50
216,58937.50
217,56289.00
218,53924.00
219,52990.50
220,53123.00
221,53828.50
222,56592.25
223,63572.00
224,69607.75
225,72144.00
226,72132.75
227,73066.00
228,73606.50
229,73194.75
230,72751.75
231,71722.25
232,71260.50
233,71609.00
234,74052.25
235,73372.00
236,71630.00
237,67981.50
238,64276.00
239,62144.00
240,58345.75
241,56154.75
242,54064.50
243,53552.50
244,54004.00
245,55371.00
246,58230.00
247,65882.25
248,72238.75
249,74873.00
250,75442.00
251,76100.50
252,76731.00
253,76125.75
254,74858.25
255,73072.25
256,72033.50
257,72451.00
258,74497.00
259,73328.50
260,71433.25
261,67076.00
262,63358.75
263,60957.75
264,57247.75
265,53108.50
266,50644.00
267,48897.00
268,48197.25
269,48590.00
270,48959.25
271,50438.75
272,53617.75
273,57112.25
274,60615.75
275,63117.75
276,64503.50
277,64171.00
278,62528.25
279,61440.25
280,60945.75
281,62024.00
282,64572.25
283,64288.25
284,62197.00
285,58821.50
286,55973.75
287,54754.00
288,52136.50
289,48631.00
290,46459.75
291,45148.00
292,44376.00
293,44239.75
294,43914.00
295,43403.25
296,45517.50
297,49171.25
298,53349.25
299,56529.00
300,59699.25
301,59841.50
302,58765.75
303,57778.75
304,57318.50
305,58352.50
306,61290.75
307,62179.00
308,60646.50
309,57853.50
310,56377.25
311,56072.25
312,53406.25
313,50735.00
314,48555.25
315,47900.00
316,48430.75
317,50193.00
318,54625.75
319,63126.00
320,70083.75
321,72643.25
322,72851.50
323,73191.00
324,73923.00
325,73699.25
326,73679.75
327,73067.75
328,72176.50
329,71863.50
330,75081.00
331,74490.50
332,72582.25
333,68568.25
334,65128.00
335,62093.00
336,57972.25
337,44141.25
338,42576.75
339,42073.50
340,42767.25
341,45190.00
342,49490.50
343,58334.00
344,63425.50
345,65921.00
346,66358.00
347,66967.00
348,67396.75
349,66363.75
350,65887.75
351,64810.50
352,63785.50
353,61969.50
354,61521.75
355,62212.50
356,63377.75
357,64063.25
358,61270.25
359,57769.25
360,53344.75
361,50759.00
362,49028.50
363,48212.25
364,49050.25
365,50406.00
366,54191.00
367,61854.25
368,66226.00
369,68051.75
370,68172.50
371,68546.00
372,68993.25
373,68555.50
374,68622.50
375,67653.00
376,66758.75
377,65220.00
378,64669.50
379,64864.25
380,64951.75
381,65367.75
382,62234.00
383,58036.25
384,53334.50
385,49789.00
386,47718.00
387,47257.25
388,47425.50
389,48674.75
390,52808.75
391,60951.25
392,65402.25
393,67420.75
394,67857.50
395,69061.50
396,69812.00
397,69145.75
398,68944.75
399,68056.00
400,66960.00
401,65645.25
402,65593.00
403,65552.50
404,65933.50
405,65246.75
406,61942.25
407,57916.25
408,53287.25
409,50535.25
410,48710.25
411,47803.75
412,47990.50
413,49669.00
414,53409.00
415,60916.25
416,65894.50
417,68082.25
418,68220.50
419,69543.25
420,70224.00
421,70003.50
422,69308.75
423,68272.00
424,67367.00
425,65692.00
426,65569.50
427,65507.25
428,65495.00
429,64969.25
430,62018.50
431,58631.00
432,54155.75
433,50883.50
434,48822.25
435,47780.50
436,48088.75
437,49663.50
438,53149.50
439,60510.75
440,65824.25
441,68789.75
442,69324.25
443,69886.25
444,70294.00
445,69395.75
446,68321.75
447,66417.75
448,65159.75
449,63737.25
450,63620.00
451,63476.00
452,63224.50
453,62056.75
454,58620.75
455,55125.50
456,51326.00
457,47762.75
458,45607.75
459,44808.00
460,44605.75
461,44739.50
462,45456.50
463,46771.25
464,49163.75
465,52896.50
466,55248.00
467,56037.00
468,55923.25
469,55616.00
470,54175.25
471,52648.25
472,52016.00
473,50918.50
474,50670.75
475,51503.75
476,51650.50
477,52029.50
478,50893.75
479,49334.00
480,45812.50
481,42343.00
482,40221.75
483,39096.00
484,39134.75
485,39483.50
486,39994.00
487,39882.50
488,41605.75
489,45406.75
490,48420.25
491,50098.75
492,51607.00
493,51257.25
494,49161.25
495,47450.50
496,46710.75
497,46302.50
498,47482.00
499,48774.25
500,49956.50
501,51124.75
502,49781.25
503,48841.25
504,45711.00
505,42713.25
506,41475.75
507,41001.50
508,41697.25
509,43700.00
510,48599.00
511,57685.00
512,63207.50
513,66170.50
514,66379.00
515,67156.25
516,67837.75
517,67573.25
518,67027.50
519,65716.00
520,64768.75
521,63275.50
522,62794.50
523,63199.75
524,63176.50
525,62991.25
526,60329.50
527,56423.25
528,51620.00
529,49109.00
530,47153.25
531,46365.50
532,46765.00
533,48256.75
534,52026.50
535,59990.00
536,64497.75
537,66967.25
538,67468.50
539,68642.25
540,69347.50
541,68647.75
542,67899.00
543,66507.50
544,65267.50
545,64240.25
546,64467.50
547,64679.75
548,64907.75
549,64395.25
550,61163.00
551,57240.50
552,52460.25
553,49297.00
554,47703.00
555,46872.00
556,47907.25
557,49513.75
558,53257.75
559,60602.00
560,65129.00
561,67366.50
562,67724.00
563,68488.25
564,68686.00
565,67965.50
566,67491.00
567,66210.25
568,65237.75
569,63864.25
570,63643.75
571,63798.00
572,63692.50
573,63466.25
574,60887.25
575,56890.50
576,52771.00
577,49495.00
578,47997.25
579,47280.75
580,47712.50
581,49293.00
582,52362.50
583,59625.25
584,64131.00
585,66233.50
586,66144.00
587,66780.00
588,67729.50
589,67509.25
590,66572.75
591,64801.25
592,64388.50
593,63079.00
594,63240.00
595,63370.25
596,63595.50
597,63591.50
598,61054.75
599,57414.25
600,52828.75
601,49731.75
602,48446.75
603,47768.00
604,48274.75
605,49704.25
606,52859.25
607,59866.00
608,65120.25
609,67703.50
610,67953.50
611,68718.50
612,69132.00
613,67792.25
614,66512.75
615,64694.00
616,63570.00
617,62686.50
618,62849.75
619,62888.50
620,62542.00
621,62195.25
622,59616.00
623,56626.25
624,52736.25
625,49290.50
626,46980.25
627,45754.00
628,45645.50
629,45952.75
630,46231.25
631,47510.75
632,50292.00
633,54071.50
634,57082.00
635,58735.00
636,59210.25
637,58332.75
638,56211.00
639,54694.75
640,54132.00
641,53643.25
642,54138.75
643,55052.75
644,54876.50
645,54579.25
646,53124.50
647,51350.75
648,47898.00
649,45449.50
650,43479.75
651,42186.75
652,42005.25
653,42381.75
654,42402.00
655,42189.50
656,43808.25
657,46953.75
658,50276.25
659,52497.00
660,54475.25
661,54111.75
662,52286.25
663,50357.25
664,49318.25
665,49270.75
666,50459.00
667,51535.25
668,51873.25
669,52346.50
670,51735.50
671,51032.00
672,48004.50
673,46070.00
674,44251.00
675,43411.75
676,43447.50
677,44124.50
678,47554.25
679,56045.75
680,61931.75
681,65645.25
682,67421.50
683,69712.00
684,71457.50
685,71431.00
686,71150.25
687,70362.50
688,69412.00
689,67334.25
690,67068.50
691,66474.75
692,66029.00
693,62794.25
694,59587.75
695,56781.75
696,52633.75
697,49652.00
698,47971.25
699,47004.00
700,47119.75
701,48127.50
702,50589.25
703,57556.75
704,63148.25
705,66832.00
706,67414.50
707,68437.00
708,69588.00
709,69368.00
710,68945.00
711,67883.00
712,66349.00
713,65199.75
714,64883.75
715,64246.00
716,63072.75
717,60348.00
718,57469.25
719,54945.75
720,51195.25
721,48172.25
722,46698.75
723,46062.50
724,46167.25
725,46982.25
726,49412.25
727,56427.50
728,61837.00
729,65669.50
730,66792.50
731,68230.25
732,69387.00
733,68737.50
734,67844.50
735,66460.25
736,66000.50
737,64408.75
738,64406.25
739,63735.00
740,62382.25
741,60074.75
742,57826.50
743,56104.25
744,51848.50
745,48562.50
746,46872.00
747,45735.25
748,45970.75
749,46838.50
750,49558.75
751,56309.00
752,61767.25
753,65404.00
754,66477.75
755,67799.50
756,69355.00
757,69037.50
758,68554.75
759,67633.50
760,66813.75
761,65508.00
762,64848.50
763,64145.50
764,63314.00
765,60778.50
766,58400.75
767,56353.75
768,52705.00
769,49524.25
770,47641.25
771,46946.50
772,47002.00
773,47737.00
774,49955.50
775,57203.00
776,62871.75
777,65924.50
778,67331.25
779,68099.25
780,68911.75
781,68146.25
782,67054.75
783,65883.00
784,64306.50
785,63154.50
786,62438.00
787,61629.00
788,59980.25
789,56826.75
790,54592.50
791,52784.25
792,49253.25
793,46492.50
794,44126.50
795,42348.25
796,41799.75
797,41574.50
798,41617.00
799,43548.50
800,46814.25
801,50743.00
802,54018.25
803,55931.25
804,56812.25
805,56519.00
806,55662.75
807,54577.25
808,53629.50
809,53121.25
810,53218.25
811,53418.50
812,52540.75
813,50315.50
814,49014.00
815,48082.50
816,45374.00
817,42750.50
818,40877.25
819,39793.50
820,39237.50
821,38988.00
822,38716.25
823,39672.25
824,41584.25
825,44580.25
826,47839.50
827,49785.75
828,51597.25
829,51826.75
830,50597.25
831,49682.00
832,48972.00
833,49029.50
834,49766.25
835,49742.50
836,49247.75
837,48288.75
838,47428.25
839,47606.50
840,44971.75
841,43142.25
842,41614.75
843,40354.75
844,40701.50
845,41992.75
846,45533.75
847,53562.00
848,59822.25
849,62712.75
850,64523.50
851,66305.50
852,67332.75
853,67706.25
854,67051.00
855,65825.25
856,64819.50
857,63435.00
858,62912.50
859,62110.50
860,60966.25
861,58431.25
862,56275.50
863,54067.50
864,49851.00
865,47310.25
866,45800.50
867,45243.00
868,45335.25
869,46257.75
870,48272.25
871,55470.25
872,60860.50
873,63124.25
874,64196.25
875,65782.00
876,67555.50
877,66942.00
878,66485.75
879,65532.25
880,64574.00
881,63426.00
882,62829.00
883,62278.00
884,61371.50
885,58759.25
886,56366.50
887,54088.75
888,50268.50
889,47344.75
890,45551.00
891,44398.25
892,44688.00
893,45680.00
894,48097.00
895,55134.25
896,60631.50
897,62847.25
898,63668.00
899,64973.00
900,66943.25
901,66959.75
902,66710.75
903,66078.25
904,64670.00
905,63015.00
906,62535.75
907,62530.75
908,61510.50
909,58596.00
910,56535.75
911,53929.00
912,49644.75
913,47089.25
914,45559.00
915,44331.00
916,44490.25
917,45424.50
918,48117.50
919,54844.00
920,60223.25
921,63405.75
922,64828.00
923,66426.25
924,67711.75
925,67220.00
926,66562.25
927,64926.50
928,63894.00
929,62780.00
930,62457.00
931,61951.50
932,60970.00
933,58554.50
934,56114.25
935,53316.50
936,49553.25
937,46726.50
938,45237.25
939,44263.75
940,44486.75
941,45676.00
942,48256.00
943,55211.75
944,60632.25
945,64127.00
946,65427.25
947,66792.25
948,67683.00
949,66836.75
950,65214.50
951,63639.50
952,62827.75
953,61915.25
954,61266.75
955,60512.50
956,59022.50
957,56291.50
958,53616.75
959,51243.25
960,48138.75
961,45436.25
962,43344.75
963,41862.25
964,41636.75
965,41544.75
966,41586.75
967,43483.75
968,46548.25
969,49863.25
970,52911.25
971,54872.25
972,55880.75
973,55087.75
974,53440.75
975,52273.50
976,51758.00
977,51383.00
978,51958.00
979,51595.50
980,50659.25
981,48303.25
982,47031.25
983,45825.00
984,43070.75
985,40581.75
986,38641.25
987,37346.00
988,37161.75
989,36887.00
990,36849.00
991,37656.50
992,39077.50
993,42111.00
