technology,cost_per_mwh
biomasse,60
wasserkraft,40
wind_offshore,30
wind_onshore,35
photovoltaik,25
sonstige_erneuerbare,99999999
braunkohle,99999999
steinkohle,99999999
erdgas,99999999
pumpspeicher,99999999
sonstige_konventionelle,99999999
