technology,capacity_mw
biomasse,8577
wasserkraft,5112
wind_onshore,8456
wind_offshore,59841
photovoltaik,76601
sonstige_erneuerbare,410
braunkohle,18363
steinkohle,12966
erdgas,36255
pumpspeicher,9449
sonstige_konventionelle,8813
