technology,cost_per_mwh
biomasse,90
wasserkraft,50
wind_offshore,40
wind_onshore,30
photovoltaik,25
sonstige_erneuerbare,60
braunkohle,55
steinkohle,70
erdgas,85
pumpspeicher,35
sonstige_konventionelle,75
