technology,cost_per_mwh
biomasse,90
wasserkraft,50
wind_offshore,5
wind_onshore,5
photovoltaik,5
sonstige_erneuerbare,60
braunkohle,55
steinkohle,70
erdgas,85
pumpspeicher,35
sonstige_konventionelle,75
